       ,  0.015, 0.0167, 0.0183,   0.02, 0.0217, 0.0233,  0.025, 0.0267, 0.0283,   0.03,
  0.015, 90.125, 89.199, 89.262, 86.956, 87.476, 89.534, 87.175, 89.003, 90.644, 91.608,
 0.0167, 89.495, 87.728, 86.729,  83.75, 83.327, 85.314, 84.666, 85.535, 85.731, 87.943,
 0.0183, 87.987, 85.319, 83.609, 80.998, 81.499, 83.337, 82.437, 83.469, 84.533, 86.012,
   0.02, 88.335,  84.02, 83.152, 81.666, 81.938, 81.238, 80.949, 82.505, 81.825, 84.717,
 0.0217, 87.336, 83.427, 83.038, 81.887, 82.192, 81.502, 81.234, 82.528,  83.14,  85.21,
 0.0233, 88.498, 83.775, 81.125, 80.072, 81.992, 80.092, 81.622, 81.427, 83.375, 84.852,
  0.025, 88.957, 85.603, 84.278, 80.479, 81.614, 81.251, 79.568, 83.082, 84.484, 85.421,
 0.0267, 87.986, 86.021, 81.937, 83.039, 82.326, 82.845, 81.795, 80.898, 86.634, 87.842,
 0.0283, 90.102, 85.948, 84.005, 82.886, 82.173,  81.95, 82.833, 83.631, 84.031, 88.452,
   0.03,  90.97, 88.183, 85.052,  83.11, 81.984, 86.881, 85.414, 84.926, 87.786, 89.747,
