       ,  0.015, 0.0167, 0.0183,   0.02, 0.0217, 0.0233,  0.025, 0.0267, 0.0283,   0.03,
  0.015,  0.495,  0.526,  0.542,  0.574,  0.558,  0.558,  0.542,  0.542,  0.542,  0.495,
 0.0167,  0.432,  0.479,  0.526,  0.526,  0.542,  0.526,  0.542,  0.526,  0.495,  0.463,
 0.0183,  0.479,  0.479,  0.511,  0.511,  0.526,  0.511,  0.511,  0.479,  0.495,  0.479,
   0.02,  0.432,  0.463,  0.495,  0.495,  0.495,  0.511,  0.495,  0.495,  0.495,  0.463,
 0.0217,  0.432,  0.463,  0.495,  0.495,  0.542,  0.495,  0.511,  0.526,  0.479,  0.479,
 0.0233,  0.447,  0.447,  0.479,  0.495,  0.495,  0.526,  0.511,  0.479,  0.479,  0.463,
  0.025,  0.447,  0.463,  0.495,  0.495,  0.511,  0.526,  0.526,  0.495,  0.479,  0.463,
 0.0267,  0.495,  0.479,  0.495,  0.495,  0.526,  0.495,  0.526,  0.495,  0.495,  0.463,
 0.0283,  0.463,  0.495,  0.526,  0.542,  0.526,  0.526,  0.511,  0.526,  0.495,  0.495,
   0.03,  0.495,  0.511,  0.511,  0.495,  0.526,  0.542,  0.542,  0.542,  0.511,  0.495,
