360,61.2999
720,63.8056
1080,71.1949
1440,74.9354
1800,69.7044
2160,81.55
2520,75.1864
2880,78.4991
3240,83.4183
3600,87.8531
3960,114.001
4320,114.165
4680,149.503
5040,111.555
5400,135.138
5760,130.532
6120,129.586
6480,166.613
6840,157.367
7200,165.659
7560,190.713
7920,236.719
8280,177.96
8640,227.982
9000,236.747
9360,295.152
9720,275.243
10080,245.658
10440,242.223
10800,383.032
11160,374.972
11520,383.342
11880,516.173
12240,419.708
12600,494.247
12960,386.307
13320,376.157
13680,388.515
14040,406.584
14400,457.511
14760,616.59
15120,597.884
15480,446.08
15840,691.773
16200,606.762
16560,611.194
16920,712.709
17280,737.764
17640,862.025
18000,827.369
18360,1059.42
18720,719.783
19080,889.383
19440,873.511
19800,595.898
20160,700.302
20520,925.407
20880,1153.2
21240,990.028
21600,687.266
21960,1148.01
22320,1112.66
22680,1035.21
23040,1278.38
23400,1055.25
23760,1335.06
24120,1033.88
24480,1414.75
24840,1411.61
25200,1425.71
25560,1194.26
25920,1296.84
26280,1286.97
26640,1627.04
27000,1614.92
27360,1434.16
27720,1920.56
28080,1929.8
28440,1910.4
28800,1460.62
29160,1786.5
29520,1897.28
29880,1907.82
30240,1658.48
30600,1893.67
30960,1856.85
31320,2273.54
31680,2008.71
32040,1985.87
32400,1961.68
32760,2362.21
33120,2244.8
33480,2634.8
33840,2240.23
34200,2581.24
34560,2558.23
34920,3044.1
35280,2374.9
35640,2491.95
36000,2545.89
