0.487	0.539	0.539	0.539	0.539	0.566	0.539	0.566	0.566	0.566	0.566	0.566	0.566	0.539	0.513	0.539	0.539	0.513	0.513	0.513
0.487	0.513	0.539	0.539	0.539	0.539	0.539	0.592	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.513	0.487	0.513	0.513
0.461	0.487	0.487	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.539	0.513	0.539	0.539	0.487	0.513	0.539	0.513	0.461	0.461
0.461	0.513	0.487	0.539	0.539	0.487	0.461	0.566	0.487	0.513	0.513	0.487	0.539	0.513	0.539	0.461	0.513	0.487	0.513	0.487
0.461	0.434	0.461	0.487	0.461	0.487	0.513	0.539	0.539	0.487	0.513	0.513	0.513	0.513	0.487	0.513	0.513	0.487	0.461	0.487
0.434	0.434	0.461	0.461	0.487	0.487	0.513	0.513	0.513	0.539	0.513	0.539	0.513	0.513	0.461	0.487	0.513	0.461	0.513	0.487
0.434	0.461	0.461	0.461	0.513	0.461	0.487	0.513	0.434	0.513	0.513	0.513	0.487	0.487	0.513	0.487	0.487	0.487	0.461	0.461
0.434	0.408	0.461	0.487	0.487	0.461	0.487	0.487	0.487	0.487	0.487	0.487	0.487	0.487	0.487	0.487	0.461	0.487	0.487	0.487
0.461	0.461	0.461	0.434	0.487	0.487	0.487	0.487	0.487	0.513	0.487	0.461	0.487	0.513	0.487	0.487	0.539	0.461	0.487	0.461
0.408	0.461	0.461	0.487	0.513	0.513	0.513	0.461	0.513	0.513	0.487	0.513	0.487	0.487	0.513	0.487	0.487	0.487	0.461	0.434
0.461	0.408	0.461	0.461	0.487	0.487	0.487	0.513	0.513	0.513	0.487	0.539	0.513	0.513	0.461	0.487	0.487	0.487	0.487	0.487
0.461	0.461	0.487	0.487	0.487	0.487	0.461	0.513	0.513	0.513	0.513	0.513	0.487	0.487	0.487	0.487	0.487	0.487	0.461	0.461
0.461	0.487	0.487	0.513	0.487	0.539	0.539	0.539	0.513	0.513	0.513	0.513	0.539	0.487	0.513	0.487	0.461	0.487	0.461	0.513
0.461	0.434	0.461	0.461	0.487	0.513	0.513	0.513	0.513	0.513	0.539	0.487	0.487	0.487	0.513	0.487	0.487	0.487	0.487	0.487
0.461	0.461	0.487	0.513	0.487	0.487	0.487	0.513	0.513	0.487	0.539	0.513	0.513	0.487	0.513	0.513	0.487	0.487	0.487	0.461
0.513	0.461	0.487	0.487	0.513	0.513	0.487	0.487	0.487	0.461	0.513	0.513	0.487	0.539	0.513	0.487	0.513	0.487	0.513	0.487
